file,dial,category
Ses01M_script01_3_M043, I'm going to make a fortune for you.,0
Ses03M_script01_3_M043, I want you now Annie.,0
Ses02M_script03_1_F006, Behave exquisitely.,0
Ses01M_script02_2_M047," I don't know, just seemed like such a good spot to me.",0
Ses05F_impro03_F028, I know,0
Ses04M_script01_3_M016," Anne, give me a kiss.  Give me a -",0
Ses05F_script03_1_M012," You mustn't be serious my dear one, that's just what they want.",0
Ses01F_script02_2_F044, I guess we don't need glasses.,0
Ses04F_script01_3_F013, Every day since.,0
Ses03F_impro07_M006, A chocolate cake?,0
Ses03F_script02_2_M040, Look what we got here.,0
Ses05M_script01_3_M014," Annie, why didn't you call me or tell me?",0
Ses02M_impro03_M010," Oh, well, it was -- you know, we were at this- at this concert and yeah",0
Ses05F_impro07_M034," Tomorrow, tomorrow, tomorrow-",0
Ses05F_script01_3_M008," Anne, I love you.  I love you a great deal.  I love you!",0
Ses03F_impro03_M019, He's rich enough. Maybe you can rent out the Eiffel Tower for your--,0
Ses01M_impro03_F015," Yeah.  My colors are blush and beige what is it, do you know?",0
Ses04F_impro03_F012, Very Midsummer Night's wedding.,0
Ses05F_impro03_F018," so beautiful, full moon.",0
Ses02F_script01_3_M000," I know, it went out of style, didn't it?",0
Ses05M_script03_1_M019," Well, it depends on how well we played.",0
Ses03M_impro07_F019, Mmmm some miso soup.,0
Ses04F_script01_3_F014," I was waiting for you, Chris.  Till then you never wrote and then when you did what did you say.  I mean you sure can be ambiguous you know.",0
Ses03F_script03_1_F012," So how long is it going to last? This ludicrous, overbearing love of ours?",0
Ses02M_script01_3_M010, I'm embarrassing you and I didn't want to tell it to you here.  I wanted some place we'd never been before.  A place where we'd be brand new to each other.,0
Ses01F_impro03_M023, [LAUGHTER] Cat babies.,0
Ses05F_impro03_M052, No?,0
Ses04F_impro07_F022, And it's so close so you can come visit me all the time.,0
Ses02M_script02_2_M046, Or not.,0
Ses05F_impro07_F010, Fair enough.,0
Ses01M_script03_1_M020, Oh yes.  .,0
Ses05M_impro07_M028," Not a lot.  I mean, I wouldn't want to live with more than three other people.  So, like four of us total, right?",0
Ses04M_script03_1_F029," How ridiculous. How utterly, utterly ridiculous.",0
Ses03M_impro03_M031, She just graduated from high school and----she's planning to apply for colleges----and stuff.She's so great.  She has so much life and energy and stuff.,0
Ses02F_script01_3_M015," Give me a kiss, Anne.  Give me a-",0
Ses03M_script03_1_F007, Certainly.  And I shall probably do a court courtesy.,0
Ses01M_script03_1_F012, The pity is that one can't stay happy.,0
Ses05F_impro06_F028, [LAUGHTER],0
Ses01M_impro02_F021, I love you too.,0
Ses04F_script01_3_M010, I have no imagination that's all I know to tell you.,0
Ses02M_impro03_M023," I don't know either do a honeymoon like in the snow or fly down to like Australia, Southern Hemisphere, [GARBAGE] so we'll decide with that.",0
Ses02M_impro08_F030, Thank you very much bye.,0
Ses04F_impro07_F045, Well look at that.  What a great day.  I got into college and I got asked out on a date.,0
Ses05F_impro03_M041," Exactly, ""laugh"".",0
Ses02F_impro03_F010," I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea.",0
Ses04F_impro03_M010," Right.  Nice.  That's great.  I hope while we're up there nobody gets attacked by any, like, bears or wolves or anything.",0
Ses04F_impro07_M048, your I got into U.S.C. graduate party. Yeah.,0
Ses03M_impro06_F006, Yeah.,0
Ses04F_impro03_M012, I'm trying to be positive.  I'm trying to say I hope that doesn't happen.,0
Ses01M_impro03_M000, The craziest thing just happened to me.,0
Ses04F_impro03_F017, Really?,0
Ses05M_impro03_M030," Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",0
Ses02F_script02_2_M046, Or not.,0
Ses04F_script01_3_F007," I knew they would, your mother anyway.",0
Ses05F_script01_3_M019, Let's Let's drive someplace.  I- I want to be alone with you.,0
Ses05F_impro07_F024, I- I hear the same.,0
Ses01F_impro06_M017, Mmhmm.Mmhmm.Mmhmm.,0
Ses01F_impro03_F002, Yeah.  In the old town part.,0
Ses02M_impro03_M008," Yes, yes. You know, she - she was like - I mean, she was happy, you know",0
Ses03F_impro03_F006," And I'm like oh, he went to the- -the bathroom, but he didn't tell me, I didn't even notice him leaving. And all of a sudden, I swear to God, I'm sitting there and-",0
Ses03F_impro03_M012," Wha- What'd you say? You said yes, right? [LAUGHTER]",0
Ses04M_script01_3_M020, Let's drive somewhere.  I want to be alone with you.,0
Ses04F_impro07_F064, [LAUGHTER].,0
Ses05M_script03_1_M011," Being that sacred and wonderful thing, love.",0
Ses03M_script01_2_M009, Look at how nice the day is.  What are we arguing for?,0
Ses04M_impro07_M034," And then men's basketball.  And -- oh, well not women's basketball.",0
Ses01F_impro03_F006," Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",0
Ses03M_script01_3_F019, I'll never forgive you for that.,0
Ses04M_impro08_F026," Right. Um, Thanks for asking, though. I mean, you sound nice, you know.",0
Ses02M_script01_3_M009, I have no imagination.  That's all I know to tell you.,0
Ses03F_script03_1_F018," Elliott, worms don't pop.",0
Ses02M_script02_2_F017, And when we were dancing you said the softest most intimate things to me right into my ears so I could feel them as much as hear them,0
Ses05F_script01_3_F003, No.  But I'm not going to stay.,0
Ses05F_impro08_M031," You too, thank you so much, have a wonderful day.",0
Ses02M_script03_1_F023, I know you did. You threw it out of the window into the Grand Canal; I don't think I'll ever forgive you for that.,0
Ses03M_impro03_F001, What?,0
Ses02M_impro07_F024, I will do the best I can.,0
Ses01M_impro07_F033, You're like the rookie? The new kid.,0
Ses03F_script01_3_F010," Yeah, they would. Especially your mom.",0
Ses03M_impro03_M029, Two and ...  We love each other. Yeah.,0
Ses03M_impro03_F011, Okay.,0
Ses03M_script01_3_F003, The air is so sweet.,0
Ses01F_script03_1_F010, Yes.  Meaning just that.,0
Ses04M_script02_2_M042, Or not.,0
Ses02F_script01_3_M019, Let's drive someplace.  I want to be alone with you.,0
Ses03M_impro03_F019, Okay. [LAUGHTER],0
Ses05F_script01_3_M028," for instance, there's this one time.  It had been raining for several days.  And this kid came up to me and gave me his last pair of dry socks. you know, He just put them in my pocket.",0
Ses04F_impro07_M053, Sweet.,0
Ses05F_impro07_F022, I'm not going to make fun of you.,0
Ses02M_script01_3_M000," I know, it went out of style, didn't it?",0
Ses01F_script03_1_F023, Which particular one?,0
Ses03M_script02_2_F045, Well at least we won't need glasses.,0
Ses01M_script03_1_F032," Oh I know you threw it out the window and into the Grand Canal.  Oh, I'll never forgive you for that.",0
Ses05M_impro07_F043, Oh totally.,0
Ses03M_script01_3_M010, I love you.,0
Ses05M_script03_1_F022, Which particular one?,0
Ses03F_script01_3_F017, 'Cause you started to write me.,0
Ses04F_impro03_M016, Sure.,0
Ses03M_script02_2_M043, It's not champagne.,0
Ses03M_impro03_F025, She said sure?,0
Ses03M_script02_2_M039," Actually, now that you mention it, no I don't.",0
Ses04F_script01_3_F012, You started to write me.,0
Ses01F_script03_1_M007, No.  Wrong number. [LAUGHTER],0
Ses05F_script01_3_M001, So you're not sorry you came?,0
Ses05F_impro03_F057," You should just approach her like that.  Hey, will you bear my children?",0
Ses05F_impro03_F029," Right, being like oh, where are you from?  The U.S.  Where in the U.S.?  Chicago.  Where in Chicago?",0
Ses01M_script03_1_F034, Cannes...mmhmm...,0
Ses03M_script03_1_M012, What does that all mean?  That's what I asked myself on my quest for ultimate truth.  What does it all mean?,0
Ses05F_impro07_M029," living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.",0
Ses05M_script01_3_M032," And and to see that again, to to bring that back on the earth again, like- like a monument that that would stand behind these men and and and it would make a difference to them.",0
Ses05F_script02_2_F037," No, I am beginning to think that maybe this is the spot after all.",0
Ses01F_script03_1_M014," Oh darling, you mustn't be serious.  It's just what they want.",0
Ses04M_script01_3_F000, You're the only one I know who loves his parents.,0
Ses01M_script03_1_F033, It went on intermittently for days.,0
Ses01M_script01_3_F017," Like Larry's brother.  Do what like you, Chris.",0
Ses04F_script03_1_F026, It burnt my comb too and all the towels in the bathroom.,0
Ses04F_impro03_M050, I'm a monster in bed.,0
Ses03M_impro03_F003," Chuck E. Cheese?  Ah, man that is so lame.",0
Ses02F_impro03_F024," Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great.",0
Ses04M_impro03_M013," I just -- 'cause, I mean, Hawaii just has like the best fruit buffets.  And so I'm just going to say forget, you know, all like kind of meats and all that stuff.",0
Ses02F_impro07_F023," So, um, so I don't know.",0
Ses02M_script02_2_F019," Just dancing barefoot in the sand, drinking champagne out of the bottle.",0
Ses05M_script02_2_M039," Shh.  If we're really quiet, the fish might come.",0
Ses04F_script03_1_F019," Darling, I believe you're talking nonsense.",0
Ses03M_script03_2_F002, Not at all.  It was very pretty.  I still have it and I wear it often.,0
Ses05F_impro03_M055," Yeah, how are you going to survive?",0
Ses05M_impro03_F005, oh-,0
Ses02F_impro08_M017," Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",0
Ses05F_script03_1_F027, It went on intermittently for days.,0
Ses02M_script03_1_M030, I didn't hit you very hard.,0
Ses03F_script02_2_F048, At least we won't need glasses.,0
Ses05F_impro07_M014," Oh, I bet you're going to love it too.  You always wanted to go to U.S.C..",0
Ses01M_script01_3_F016, I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,0
Ses04F_impro03_F025, to help plan because I'm getting married. [LAUGHTER],0
Ses01M_script03_1_F040, Very much sillier.,0
Ses03M_script01_3_M013," This yard and this chair.  I don't want to win you from anything, I want you to be ready for me.",0
Ses04F_impro07_F062," No, it's dorky.",0
Ses04F_impro03_F020, No.  No browns.,0
Ses04M_script03_1_M024, The one when you bought that little painted wooded snake and put it on my bed?,0
Ses04F_impro03_F016, Yeah?,0
Ses04M_impro07_F032, Maybe one of those megaphones. Pompom.,0
Ses01F_impro07_F006," At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",0
Ses02M_impro07_F016, you get to like be a part of that.,0
Ses04M_script01_3_F009," Chris, I've been ready a long, long time.",0
Ses05F_impro03_F047, I think it's a good idea to live together before you get married.,0
Ses05F_script03_1_M007, With the most perfect poise.,0
Ses03M_script03_1_F016," Well, dear, shall we want that?",0
Ses01M_script01_3_M017," Oh Annie, why don't you go ahead and give me a kiss, come on just a...",0
Ses05F_script01_3_F010," Chris, I've been ready for a long time.",0
Ses03F_script03_1_M025, How long did that row last?,0
Ses05M_script02_2_F033," Okay.  Well, we're in the wrong spot but we're with the right person.",0
Ses02M_impro07_F015," Oh, totally totally.",0
Ses04F_impro03_F023, Come on.,0
Ses05F_impro03_F006, [LAUGHTER],0
Ses03F_impro04_M020, [LAUGHTER],0
Ses04M_script03_1_F008, But what's so horrible is that one can't stay happy.,0
Ses02M_impro03_M017," Yea, that way she was guaranteed that she could not say no.",0
Ses01M_script03_2_F005, I did not you worked whole thing up in your jealous imagination.,0
Ses05F_script02_2_F035," Augie, you bought refreshments.",0
Ses04F_impro07_F073," Well, yeah.  I mean that's where you meet people, right.  Everybody lives in the dorms, right.",0
Ses04F_script03_1_M012," You mustn't be serious, my darling.  It's just what they want.",0
Ses02F_script02_2_M043, It's not champagne.,0
Ses05M_script03_1_M020," Yes, yes, with all his might.",0
Ses02F_impro03_F022, Two and a half years. [LAUGHTER],0
Ses03M_script02_1_M030," I don't get it.  I mean the first time we came to see it, you said it was the best night of your life.",0
Ses04M_impro03_F018, Well I'm glad you told me.,0
Ses02M_impro07_M028," Oh man. So, I don't know you know, we'll see - we'll see how it goes and, yeah, I'm looking forward to it",0
Ses05F_impro07_M007," Okay, you're right, you're right, you're right,  right.  Maybe we should get a place together.",0
Ses03F_impro07_M020, Acti- acting pants.,0
Ses02F_script02_1_M032," And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.",0
Ses05F_impro03_M026," Oh he is, okay.",0
Ses05F_script02_2_M035," Actually, now that you mention it.  No, I don't.",0
Ses05M_impro03_M023, She's the one.,0
Ses05F_impro08_M028," six four nine four. That would be so great, thank you so much.",0
Ses04F_impro03_F048, You really like,0
Ses05F_impro03_F035, Thank you.,0
Ses01F_script03_1_F031, Oh.  You knew there was nothing in that.,0
Ses03F_impro03_M015," No, you deserve to cry. I mean, tears of happiness.",0
Ses04F_impro07_M081," and I mean, you know, I knew my roommates and stuff but I there wasn't really that sense of community-",0
Ses04F_impro07_F060, Yeah.,0
Ses01M_script03_1_F024, I think you're talking nonsense.,0
Ses04M_impro07_M005," Um, um- yeah, I'm just -- I'm really excited 'cause I don't know.  It's like a whole -- I mean, it's just like, I've been really -- I wanted to go there ever since I was a kid.  So now I actually am and it's awesome.  It's a really nice campus.  Oh, you've been there.",0
Ses05F_script03_1_M021, enjoy the party as long as we can like very little quite idiotic schoolchildren. [garbage] Let's savor the delight of the moment.,0
Ses05F_impro03_M030, [LAUGHTER] I am sil,0
Ses01M_script03_1_F026, Ah.,0
Ses02F_impro07_F000," It's going really well.  Um, I received something in the mail today.",0
Ses05M_impro07_M039," And yeah, well, I mean, basically I just applied for any and every possible scholarship and grant that could come by, so I can go.",0
Ses03M_script02_2_F044, Oh you brought refreshments.,0
Ses03F_script03_1_F024," Well, I burnt a hole in my comb too, and all the towels in the bathroom. [LAUGHTER].",0
Ses02M_impro07_M020, Yeah. Right. A cult. I'm looking forward to being in the cult.,0
Ses05F_script01_3_M005, Well the plan was to kind of sneak up on you over a period of a week or so.  But uh- they take it for granted that we're all set.,0
Ses05F_impro03_M017, Were you in Chicago?,0
Ses04M_impro03_F021, Well that's good.  It'll be a great wedding.  You're willing to compromise on things.,0
Ses01M_script03_2_M003," However, I do believe the real cause of that row was Peter Burden.",0
Ses02M_impro07_F021," Yes, it's intimate.",0
Ses03M_impro03_M019, Yeah.,0
Ses04F_impro07_F030, No.  An I got accepted to U.S.C. party. [LAUGHTER],0
Ses04M_script01_3_M008," Ann, I love you.  I love you a great deal.  I love you.",0
Ses02M_impro07_M018, What?,0
Ses01F_script03_1_F011, Don't laugh at me.  I'm being serious.,0
Ses04M_impro07_M027," No, I'm just messing with you. I mean, I'm not going to, you know, I mean, I'm not even really a football fan anyway.  So or- or a basketball-",0
Ses05M_impro03_M009," Well, instead I climb up on the rock and like I- I didn't do it -- well, I did it on purpose. I made it look like I accidentally did it.  I slipped down into this pool of water, right?  And she freaks out because I slide all the way down this rock.  And um-",0
Ses01M_script03_2_F004, Not at all. It was very pretty. I still wear it often.,0
Ses03M_script01_3_F012, I guess that's why I came.,0
Ses05F_impro03_M024," Oh, okay.",0
Ses04M_impro03_M008," Yeah. Yeah. So- I know.  I know. I know.  It's weird 'cause it's like the beginning of the rest of my life, you know.",0
Ses02M_script03_2_F004," Just a little perhaps, nothing serious.",0
Ses03F_script03_1_M026, The worst one was in Cannes when your-your curling iron burnt a hole in my dressing gown.,0
Ses02F_impro07_M019," I mean because you went to the campus before, right?",0
Ses02M_script03_1_F018," Darling, I believe you're talking nonsense.",0
Ses04F_script03_1_F006, Behave exquisitely.,0
Ses01F_script02_1_M043, So what do you think?,0
Ses02M_impro03_F016, Did you bring her up on stage too?,0
Ses05F_impro03_F058," Yeah, totally.",0
Ses04M_impro03_M026, She's okay with it.,0
Ses02M_impro03_F009, Yeah.,0
Ses01M_script03_2_F008, If you hadn't been so suspicious and nosey you'd never known a thing about it.,0
Ses03M_script03_1_F012, Who's they?,0
Ses04F_impro07_M085, All hail to the,0
Ses05F_script01_3_M032," but it seemed to me that something new was being created at the same time, a kind of responsibility, man for man.  Do you understand me?",0
Ses04F_impro03_M049, What?  You've heard me talk about it before.,0
Ses01M_impro07_M032, I'm going to have a mustache...On the force...,0
Ses03F_impro07_F013, So now I can stay here and now we can party. I know.,0
Ses05M_impro03_M007," You know- we did some- you know some rock climbing up the waterfalls and went up to this little pool that was up there.  And then, I- it's great. Um- You have to climb this little rock-",0
Ses05F_script03_1_M005, Hello?  Hello?  What?  Wrong number.,0
Ses03F_script02_2_F046," God, big old white moon.",0
Ses04M_script01_1_F025, You're a considerate fellow.  There's nothing wrong in that.,0
Ses03M_impro03_F009," Oh, okay.  Well I call you Joe cause you're middle name Joseph.",0
Ses02F_impro07_F031," Well, that'll take a while. [GARBAGE]",0
Ses05F_impro07_F017, okay.,0
Ses05F_impro07_M030," Exactly.  Mooching off of all like the college experiences, that would've been me but you have saved me from that disaster. Thank you. Thank you very much.",0
Ses05F_script03_1_M024, Do you remember that awful scene we had in Venice?,0
Ses02M_impro07_M019, [LAUGHTER] I know. I mean part of-,0
Ses03F_script02_2_F022," I told myself finally, this is how happy I'm supposed to be.",0
Ses02M_script03_1_M031, I'll never forget his face.,0
Ses04F_impro03_F014," Okey Well- well-, you know what?  I was hoping that you would help",0
Ses03F_impro07_F012," and so, I mean, I got in.",0
Ses03M_script03_1_M032," Oh, the worst one was in Cannes when you-",0
Ses04F_impro07_M075, free buffets and free events.,0
Ses03M_impro07_F008, Yeah.  Hopefully it won't be like high school.,0
Ses02M_script02_2_M042, What have we got here?,0
Ses04F_impro07_M027, Right.,0
Ses03M_impro03_F004, Are you serious [GARBAGE] man?,0
Ses03M_script03_1_F025, Yeah.  I know you did.  You threw it out the window and into the Grand Canal.  I don't think I'll ever forgive you for that.,0
Ses04M_script03_1_F016," Oh, dear.  Should we like that.",0
Ses01M_impro07_M027, They're nice.,0
Ses05F_impro07_M017, That'll be great. That'll be great.,0
Ses03F_script03_1_M019, So is everyone else in the long run. Let's be superficial and pity the poor philosophers.,0
Ses05M_impro03_F021," Oh, my gosh.  You told your parents already? and everything",0
Ses05M_script03_1_M016, Certainly you must.  We are figures of fun all right.,0
Ses05M_script03_1_M029," Oh, The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown?",0
Ses02F_script02_2_F017," And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",0
Ses04M_script03_1_F014," How long will it last, this ludicrous and overbearing love of ours?",0
Ses03F_script02_2_M045, Or not.,0
Ses03F_script03_1_M008," Ooh darling, don't say that.",0
Ses03M_script02_2_F049, Or not.,0
Ses03M_script03_1_M023, Let's be superficial and pity the poor philosophers hmmm?  Let's blow trumpets and squeakers and party as much as we can like quite idiotic school children.,0
Ses04F_impro07_F012, And a taser.  Excellent.  Just make sure it's a big knife.,0
Ses05F_script01_3_F017," Like Larry's brother.  Do it like you, Chris.  Chris, what's the matter?",0
Ses04M_script01_3_F013," I was waiting for you, Chris.  'Til then, you never wrote and when you did, what did you say?  You sure can be ambiguous, you know.",0
Ses01M_script03_1_F029," The same applies to you too, except you so much as look at another women I'll kill you.",0
Ses02F_impro03_M011," So, I mean--it's good though.",0
Ses05F_script02_2_M034, Yeah?,0
Ses05F_impro03_F002, Yeah.,0
Ses02F_impro07_F016, I don't mind worrying about all the paperwork.  You know--,0
Ses01F_script02_2_F043," Augie, you bought refreshments.",0
Ses04F_impro03_F018," Okay.  It's going to be in, like, six months.  So we don't have a really long time.",0
Ses05M_script01_3_M005," Well, I planned on kind of sneaking up on you in a period of a week or so, but they all take it for granted that we're set.",0
Ses04F_impro07_F010," Do you want to buy me some mace for my, you know, going away present?",0
Ses04M_impro03_M016," Um, no, no, no.  It'll be in like a park near the beach.",0
Ses02M_script01_3_M037, I know Annie.  I'm gonna make a fortune for you.,0
Ses03M_script01_3_F022, Like Larry's brother.  Do it like you Chris.,0
Ses01M_script01_3_M005," I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",0
Ses05F_script02_2_F036, Well than we don't need glasses.,0
Ses03M_script01_3_F013," Look, I've been ready for a long, long time now.",0
Ses04F_impro07_M055," That's right.  There's lots of like, there's lots of doughnut shops, like, everywhere.",0
Ses05F_impro03_F017, Mm-hmm.,0
Ses02M_script02_2_M045," Shh, if we're very quiet the fish might come.",0
Ses03F_script03_1_M010, What does it all mean? That's what I ask myself in my quest for ultimate truth. What does it all mean?,0
Ses05F_script02_2_M037," Well, look what we have got here.",0
Ses01F_script03_1_F024," Oh Charles, that was his name.  He did wiggle so beautifully.",0
Ses02M_impro03_M006, I know Uhm- I can't believe it.  It's like-,0
Ses03M_impro03_F016," Oh god! You are damn cheap, cheap, cheap. Anyways, moving on. It's not like you're poor.  I mean your dad makes... okey",0
Ses01F_script02_2_F019," You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",0
Ses03F_script02_2_F050, Maybe this is the right place after all.,0
Ses03F_impro03_F018," like a loser, I cried.",0
Ses02M_script02_2_M043, It's not champagne.,0
Ses03F_script01_3_M015, I don't want to win you from anybody. I want you to be ready for me.,0
Ses03F_impro07_M031," That's what you got to be though, freshman year.",0
Ses05F_script03_1_F023," Oh, thank you dear.  And the same goes for you except that if I so much as see you looking at another woman, I'll kill you.",0
Ses04M_script03_2_F006, Not at all.  It was very pretty.  I still have it and I wear it often.,0
Ses01F_script03_1_M020, Well it depends on how well we've played.,0
Ses03F_script01_3_M013, I-I love you. I have no imagination. That's all I know how to tell it.,0
Ses05M_script02_2_F036," Well, then we don't need glasses.",0
Ses04M_script03_1_M010," Meaning that sacred and beautiful thing, love?",0
Ses05M_script01_3_F009," Oh, Chris I've been ready for a long time.",0
Ses05F_script01_3_M015," Give me a kiss, Ann. Give me a-",0
Ses04F_impro07_F023, Right.,0
Ses04M_impro07_M024," Yeah, yeah.  But um, so, yeah.  So it's pretty sweet, huh?  You should go there, too.",0
Ses01M_script03_1_F003, Now and always sweet.,0
Ses04M_script01_3_F027, What'll I do with a fortune?,0
Ses01M_script02_2_F042, Oh I saw that.  Pretty isn't it. Big ol' white moon.,0
Ses03F_script02_2_F043," Well, I guess we're just in the wrong spart-spot with the right person.",0
Ses03M_script02_1_M019, Right.,0
Ses01F_impro07_M015, You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,0
Ses03F_impro03_F022, No. Hawaii's for honeymoons. But uh--,0
Ses03F_script03_1_F023, It went on intermittently for days.,0
Ses01F_script03_1_M013," Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?",0
Ses03M_script01_3_F021, Not like that you're not.,0
Ses02M_impro03_M029, You know I had my mom come along maybe help me out a little bit because she's got good taste. but,0
Ses02M_impro03_F021," Do you think you'll get a house or something, like you guys are looking to buy some place or",0
Ses04M_script01_3_M015," Anne, why didn't you let me know?",0
Ses03F_script01_3_M014," I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair.",0
Ses02M_impro07_M011," it was good, yeah. I mean-",0
Ses02M_impro07_F012, Yay.,0
Ses03M_script03_1_F031, And much sillier too.,0
Ses03F_script01_3_F014," I've been ready for a long, long time.",0
Ses05F_impro03_F055, [LAUGHTER] Good luck.,0
Ses02M_impro03_M027," Oh, it will, obviously you know. But I know it's something - I don't know, you never really think about it happening, like before hand.",0
Ses05F_impro07_F023," [LAUGHTER] Oh, I'm going to be working too, I mean.",0
Ses03M_impro02_F000, Um.,0
Ses03F_impro03_M008, Uh huh. Oh-,0
Ses05F_impro07_F020, yeah.,0
Ses02M_impro08_M005, I know they don't tell you that kind of thing.,0
Ses01F_impro03_F000, Well Vegas was awesome.,0
Ses01M_impro07_F032," Oh, cool.",0
Ses04M_impro07_M007," Yeah.  I like to know about history, 'cause, you know, it's- it's just so relevant to the present.",0
Ses04F_impro07_F048, Okay well that's not a happy part.  We don't want to talk about that.,0
Ses02M_script03_1_M008," Things that ought to matter dreadfully don't matter at all when one's is happy, do they?",0
Ses03F_script02_2_M041, It's not champagne.,0
Ses04F_impro07_F056, Work at a doughnut shop.,0
Ses05M_script02_2_M019, Take off our shoes?,0
Ses03M_impro03_F026, Sure?  Who says sure?  You say yes...I don't like--,0
Ses01F_impro07_M009, Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,0
Ses02M_script02_2_F045, Or not.,0
Ses05F_impro07_F009, That's fine.  You don't have to go to school to live near U.S.C..,0
Ses02F_impro07_M010, [LAUGHTER],0
Ses01M_script02_2_M004, About what I was saying.,0
Ses04F_script01_3_F030, What'll I do with a fortune?,0
Ses01M_script03_1_M038, Oh that was a rouser wasn't it?,0
Ses05F_script03_1_F003, Now and always my sweet.,0
Ses04M_script03_1_M031," Ah, I shall never forget his face.",0
Ses02F_impro03_F006," So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird.",0
Ses03F_script03_1_M009," You mean that sacred and beautiful thing, love?",0
Ses04M_impro07_M012," I'm guessing, you know it's like I I checked it out.  And, like, they have a decent history program.",0
Ses03F_script02_2_F045, You can see right over the water.,0
